 

stn;time;mtria89d
AAB;1951;19510801
AAB;1952;19520721

stn;time;mtria89d
AFE;1956;19560910
AFE;1957;19570822
AFE;1958;19580818
AFE;1959;19590807
AFE;1960;19600822
AFE;1961;19610825
AFE;1962;19620825

stn;time;mtria89d
ANR;1990;19900915
ANR;1991;19910902
ANR;1992;19920903
ANR;1993;19930907
ANR;1994;19940829
ANR;1995;19950822

stn;time;mtria89d
AZM;1988;19880729
AZM;1989;19890812
AZM;1990;19900807
AZM;1991;19910816
AZM;1992;19920810
AZM;1993;19930818
AZM;1994;19940721
AZM;1995;19950807

stn;time;mtria89d
BAB;1966;19660720
BAB;1967;19670802
BAB;1968;-
BAB;1969;-
BAB;1970;19700805
BAB;1971;19710717
BAB;1972;19720815
BAB;1973;19730808
BAB;1974;19740723
BAB;1975;19750805
BAB;1976;19760720
BAB;1977;19770808
BAB;1978;19780823
BAB;1979;19790806
BAB;1980;-
BAB;1981;19810721
BAB;1982;19820720
BAB;1983;19830720

stn;time;mtria89d
BMS;1953;19530815
BMS;1954;-
BMS;1955;-
BMS;1956;-
BMS;1957;19570809
BMS;1958;-
BMS;1959;19590720

stn;time;mtria89d
BEL;1956;19560920
BEL;1957;19570915
BEL;1958;19580905
BEL;1959;-
BEL;1960;-
BEL;1961;-
BEL;1962;-
BEL;1963;-
BEL;1964;-
BEL;1965;-
BEL;1966;19661010
BEL;1967;19671001
BEL;1968;19680910
BEL;1969;-
BEL;1970;-
BEL;1971;-
BEL;1972;19720930
BEL;1973;-
BEL;1974;-
BEL;1975;-
BEL;1976;19760915
BEL;1977;19770930
BEL;1978;-
BEL;1979;-
BEL;1980;-
BEL;1981;-
BEL;1982;-
BEL;1983;-
BEL;1984;-
BEL;1985;-
BEL;1986;-
BEL;1987;-
BEL;1988;-
BEL;1989;19890822
BEL;1990;19900815
BEL;1991;19910803

stn;time;mtria89d
BLO;1989;19890804
BLO;1990;19900809
BLO;1991;-
BLO;1992;-
BLO;1993;-
BLO;1994;-
BLO;1995;19950805

stn;time;mtria89d
BGA;1951;19510730
BGA;1952;19520718
BGA;1953;19530721
BGA;1954;-
BGA;1955;19550720
BGA;1956;19560806

stn;time;mtria89d
BPI;1956;19560806
BPI;1957;-
BPI;1958;-
BPI;1959;19590720
BPI;1960;19600801
BPI;1961;19610728
BPI;1962;19620728
BPI;1963;19630728
BPI;1964;19640724
BPI;1965;19650725
BPI;1966;19660724
BPI;1967;19670725
BPI;1968;19680720
BPI;1969;19690725
BPI;1970;19700726
BPI;1971;19710725
BPI;1972;19720724
BPI;1973;19730725
BPI;1974;19740720
BPI;1975;19750720
BPI;1976;19760728
BPI;1977;19770730
BPI;1978;19780730
BPI;1979;19790730
BPI;1980;19800805
BPI;1981;19810805
BPI;1982;19820805
BPI;1983;19830805
BPI;1984;-
BPI;1985;-
BPI;1986;-
BPI;1987;-
BPI;1988;-
BPI;1989;-
BPI;1990;19900830
BPI;1991;19910819
BPI;1992;19920801
BPI;1993;19930729
BPI;1994;19940802

