 

stn;time;mtria59d
AFE;1956;19560625
AFE;1957;19570625
AFE;1958;19580624
AFE;1959;19590615
AFE;1960;19600620
AFE;1961;19610619
AFE;1962;19620626

stn;time;mtria59d
ANR;1990;19900627
ANR;1991;19910622
ANR;1992;19920628
ANR;1993;19930706
ANR;1994;19940706
ANR;1995;19950707

stn;time;mtria59d
AZM;1987;19870608
AZM;1988;19880518
AZM;1989;19890602
AZM;1990;19900518
AZM;1991;19910607
AZM;1992;19920605
AZM;1993;19930602
AZM;1994;19940529

stn;time;mtria59d
BAB;1966;19660508
BAB;1967;19670510
BAB;1968;19680506
BAB;1969;19690515
BAB;1970;19700519
BAB;1971;19710510
BAB;1972;19720516
BAB;1973;19730521
BAB;1974;19740430
BAB;1975;19750515
BAB;1976;19760511
BAB;1977;19770513
BAB;1978;19780520
BAB;1979;19790616
BAB;1980;19800512
BAB;1981;19810529
BAB;1982;19820528
BAB;1983;19830510
BAB;1984;-
BAB;1985;-
BAB;1986;-
BAB;1987;19870502

stn;time;mtria59d
BEL;1956;19560712
BEL;1957;19570618

stn;time;mtria59d
BLO;1989;19890630
BLO;1990;19900514
BLO;1991;-
BLO;1992;-
BLO;1993;-
BLO;1994;-
BLO;1995;19950530

stn;time;mtria59d
BGA;1951;19510509
BGA;1952;19520605
BGA;1953;19530603
BGA;1954;-
BGA;1955;19550606
BGA;1956;19560607

stn;time;mtria59d
BPI;1956;19560515
BPI;1957;19570515
BPI;1958;19580504
BPI;1959;19590520
BPI;1960;19600520
BPI;1961;19610510
BPI;1962;19620520
BPI;1963;19630530
BPI;1964;19640520
BPI;1965;19650518
BPI;1966;19660515
BPI;1967;19670515
BPI;1968;19680510
BPI;1969;19690512
BPI;1970;19700520
BPI;1971;19710517
BPI;1972;19720510
BPI;1973;19730515
BPI;1974;19740510
BPI;1975;19750512
BPI;1976;19760515
BPI;1977;19770518
BPI;1978;19780520
BPI;1979;19790530
BPI;1980;19800605
BPI;1981;19810605
BPI;1982;19820605
BPI;1983;19830505
BPI;1984;-
BPI;1985;-
BPI;1986;-
BPI;1987;-
BPI;1988;-
BPI;1989;19890625
BPI;1990;19900610
BPI;1991;19910715
BPI;1992;19920601
BPI;1993;19930525
BPI;1994;19940715

stn;time;mtria59d
BLE;1951;19510620
BLE;1952;19520620
BLE;1953;19530618
BLE;1954;19540610
BLE;1955;19550615
BLE;1956;19560625
BLE;1957;19570615
BLE;1958;19580620
BLE;1959;19590615
BLE;1960;19600601
BLE;1961;19610601
BLE;1962;19620620

stn;time;mtria59d
BUL;1952;19520509
BUL;1953;-
BUL;1954;-
BUL;1955;-
BUL;1956;-
BUL;1957;-
BUL;1958;-
BUL;1959;-
BUL;1960;-
BUL;1961;-
BUL;1962;-
BUL;1963;-
BUL;1964;-
BUL;1965;-
BUL;1966;-
BUL;1967;-
BUL;1968;-
BUL;1969;-
BUL;1970;-
BUL;1971;19710530
BUL;1972;19720706

stn;time;mtria59d
CER;1951;19510627
CER;1952;19520612
CER;1953;-
CER;1954;19540605
CER;1955;19550624
CER;1956;-
CER;1957;19570620
CER;1958;19580620
CER;1959;19590613
CER;1960;19600612
CER;1961;19610624
CER;1962;19620628
CER;1963;19630701
CER;1964;19640615
CER;1965;19650630
CER;1966;19660618
CER;1967;19670626
CER;1968;19680629
CER;1969;19690701
CER;1970;19700704
CER;1971;19710615
CER;1972;19720629
CER;1973;19730628
CER;1974;19740629
CER;1975;-
CER;1976;19760615
CER;1977;19770621
CER;1978;19780701
CER;1979;19790628
CER;1980;19800629
CER;1981;19810616
CER;1982;19820617
CER;1983;19830625
CER;1984;19840627
CER;1985;-
CER;1986;-
CER;1987;19870705
CER;1988;19880622
CER;1989;19890622
CER;1990;19900618
CER;1991;19910626
CER;1992;19920610
CER;1993;19930615

stn;time;mtria59d
CHI;1965;19650612
CHI;1966;19660602
CHI;1967;19670603
CHI;1968;19680609
CHI;1969;19690604
CHI;1970;19700615
CHI;1971;19710531
CHI;1972;19720605
CHI;1973;19730601
CHI;1974;19740530
CHI;1975;19750601
CHI;1976;19760525
CHI;1977;19770608
CHI;1978;19780603
CHI;1979;19790607
CHI;1980;19800602
CHI;1981;19810525
CHI;1982;19820601
CHI;1983;19830609
CHI;1984;19840610
CHI;1985;19850608
CHI;1986;19860612
CHI;1987;19870615
CHI;1988;19880605
CHI;1989;19890601
CHI;1990;19900527
CHI;1991;19910602
CHI;1992;19920525
CHI;1993;19930530
CHI;1994;19940525

stn;time;mtria59d
CDP;1951;19510625
CDP;1952;19520610
CDP;1953;-
CDP;1954;19540620
CDP;1955;19550625
CDP;1956;-
CDP;1957;19570628
CDP;1958;19580701

stn;time;mtria59d
CHR;1969;19690620
CHR;1970;-
CHR;1971;-
CHR;1972;19720612
CHR;1973;-
CHR;1974;19740610
CHR;1975;19750620
CHR;1976;19760610
CHR;1977;19770620
CHR;1978;19780701
CHR;1979;19790610
