Bundesamt für Meteorologie und Klimatologie, MeteoSchweiz
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

stn yyyyMMddHHmm

stn Stationskürzel
y   Jahr
M   Monat
d   Tag
H   Stunde
m   Minute

Zeitangaben in UTC: 00:40 UTC = 02:40 Sommerzeit
                              = 01:40 Winterzeit

Zeitbezug bei Stundenwerten, sofern in der Parameterbeschreibung nicht anders vermerkt: HH  = (HH-1):01 - HH:00
Beispiel: 13 = beinhaltet Messperiode von 12:01 bis 13:00 

Fehlende Messwerte sind gekenntzeichnet mit '-'

Qualitätsinformationen: Die Legende zu den Qualitätsinformationen ist zu finden unter: https://gate.meteoswiss.ch/idaweb/text/datenqualitaet_legende_de.pdf

 




Stationen
---------
stn       Name                                 Parameter        Datenquelle                                        Länge/Breite             Koordinaten [km] Höhe ü. M. [m]
AFE       Affoltern im Emmental                mtria59d         MeteoSchweiz                                       7°44'/47°04'             622311/212695    800
ANR       Andeer                               mtria59d         MeteoSchweiz                                       9°25'/46°36'             752000/163000    985
AZM       Azmoos                               mtria59d         MeteoSchweiz                                       9°29'/47°05'             755000/216000    480
BAB       Basel-Binningen                      mtria59d         MeteoSchweiz                                       7°35'/47°33'             610820/266440    315
BEL       Bellelay                             mtria59d         MeteoSchweiz                                       7°10'/47°16'             579350/234970    930
BLO       Blonay                               mtria59d         MeteoSchweiz                                       6°54'/46°28'             558000/146000    600
BGA       Bremgarten                           mtria59d         MeteoSchweiz                                       8°20'/47°21'             667883/244282    400
BPI       Brusio-Piazzo                        mtria59d         MeteoSchweiz                                       10°07'/46°16'            806330/127300    850
BLE       Bôle, NE                             mtria59d         MeteoSchweiz                                       6°50'/46°58'             554539/201971    530
BUL       Bülach                               mtria59d         MeteoSchweiz                                       8°32'/47°31'             683000/264000    420
CER       Cernier                              mtria59d         MeteoSchweiz                                       6°59'/47°06'             565686/216475    900
CHI       Changins                             mtria59d         MeteoSchweiz                                       6°14'/46°24'             507000/139000    435
CDP       Chemin de Paille (Chaumont II)       mtria59d         MeteoSchweiz                                       6°57'/47°01'             563000/208000    1010
CHR       Chur                                 mtria59d         MeteoSchweiz                                       9°33'/46°52'             760340/192940    640
CTY       Conthey                              mtria59d         MeteoSchweiz                                       7°18'/46°13'             589684/117628    478
CSS       Cossonay                             mtria59d         MeteoSchweiz                                       6°31'/46°37'             529000/163000    565
COE       Couvet                               mtria59d         MeteoSchweiz                                       6°38'/46°55'             539000/197000    750
DLT       Delémont I                           mtria59d         MeteoSchweiz                                       7°21'/47°21'             592681/245024    416
DLM       Delémont II                          mtria59d         MeteoSchweiz                                       7°21'/47°22'             593277/245679    430
DIH       Diessenhofen                         mtria59d         MeteoSchweiz                                       8°45'/47°41'             698000/283000    410
DST       Disentis                             mtria59d         MeteoSchweiz                                       8°51'/46°42'             708000/173000    1200
DOM       Domat / Ems                          mtria59d         MeteoSchweiz                                       9°27'/46°50'             754000/189000    580
DOT       Döttingen                            mtria59d         MeteoSchweiz                                       8°15'/47°34'             661050/269000    350
